ride_date,station_id,daily_ridership,raw_text_field,subway_ridership,bus_ridership,lirr_ridership,metro_north_ridership,access_a_ride_ridership,bridges_tunnels_ridership,pre_pandemic_comparison
2020-07-25,1,100000,MTA Aggregate,100000,14777,43340,25173,0,0,16
2020-07-26,1,100000,MTA Aggregate,100000,9711,36164,20170,0,0,15
2020-07-27,1,100000,MTA Aggregate,100000,32072,70114,31568,0,0,19
2020-07-28,1,100000,MTA Aggregate,100000,33753,66687,31677,0,0,19
2020-07-29,1,100000,MTA Aggregate,100000,35257,69995,33733,0,0,20
2020-07-30,1,100000,MTA Aggregate,100000,33982,68958,34122,0,0,20
2020-07-31,1,100000,MTA Aggregate,100000,29917,67648,38040,0,0,18
2020-08-01,1,100000,MTA Aggregate,100000,16087,44405,26261,0,0,19
2020-08-02,1,100000,MTA Aggregate,100000,9874,30502,17885,0,0,17
2020-08-03,1,100000,MTA Aggregate,100000,36945,70779,32884,0,0,22
2020-08-04,1,100000,MTA Aggregate,100000,29426,36835,22286,0,0,11
2020-08-05,1,100000,MTA Aggregate,100000,38283,58005,26598,0,0,21
2020-08-06,1,100000,MTA Aggregate,100000,37059,66671,28283,0,0,23
2020-08-07,1,100000,MTA Aggregate,100000,32170,65969,32882,0,0,20
2020-08-08,1,100000,MTA Aggregate,100000,15143,41729,23513,0,0,17
2020-08-09,1,100000,MTA Aggregate,100000,11534,37616,20503,0,0,18
2020-08-10,1,100000,MTA Aggregate,100000,34883,73548,33500,0,0,22
2020-08-11,1,100000,MTA Aggregate,100000,36426,72436,33509,0,0,24
2020-08-12,1,100000,MTA Aggregate,100000,36053,68345,33736,0,0,23
2020-08-13,1,100000,MTA Aggregate,100000,34723,69223,33822,0,0,22
2020-08-14,1,100000,MTA Aggregate,100000,32713,72916,39342,0,0,23
2020-08-15,1,100000,MTA Aggregate,100000,15522,46806,27677,0,0,21
2020-08-16,1,100000,MTA Aggregate,100000,8603,29858,18164,0,0,15
2020-08-17,1,100000,MTA Aggregate,100000,34768,74453,35362,0,0,23
2020-08-18,1,100000,MTA Aggregate,100000,36646,74213,34361,0,0,22
2020-08-19,1,100000,MTA Aggregate,100000,34181,70104,34377,0,0,21
2020-08-20,1,100000,MTA Aggregate,100000,35059,75643,37078,0,0,22
2020-08-21,1,100000,MTA Aggregate,100000,31342,76062,41110,0,0,21
2020-08-22,1,100000,MTA Aggregate,100000,13705,49095,27784,0,0,18
2020-08-23,1,100000,MTA Aggregate,100000,9698,37891,22496,0,0,18
2020-08-24,1,100000,MTA Aggregate,100000,34021,75145,35904,0,0,21
2020-08-25,1,100000,MTA Aggregate,100000,34993,73331,35689,0,0,21
2020-08-26,1,100000,MTA Aggregate,100000,35975,76583,36621,0,0,23
2020-08-27,1,100000,MTA Aggregate,100000,33969,73060,35551,0,0,21
2020-08-28,1,100000,MTA Aggregate,100000,31956,76114,41222,0,0,20
2020-08-29,1,100000,MTA Aggregate,100000,14035,37641,22234,0,0,17
2020-08-30,1,100000,MTA Aggregate,100000,16027,45147,26520,0,0,23
2020-08-31,1,100000,MTA Aggregate,100000,100000,78122,37727,0,0,24
2020-09-01,1,100000,MTA Aggregate,100000,100000,76483,36035,0,0,19
2020-09-02,1,100000,MTA Aggregate,100000,100000,77585,36159,0,0,19
2020-09-03,1,100000,MTA Aggregate,100000,100000,82554,39920,0,0,19
2020-09-04,1,100000,MTA Aggregate,100000,100000,88345,47152,0,0,18
2020-09-05,1,100000,MTA Aggregate,100000,100000,50550,34621,0,0,1
2020-09-06,1,100000,MTA Aggregate,100000,100000,44727,28565,0,0,7
2020-09-07,1,100000,MTA Aggregate,100000,100000,80050,27326,0,0,41
